Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country
2017,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Male,0,3826458,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,0,3605202,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,2,3803268,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Female,0,770160,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Male,0,811200,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,0,4097544,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,6,4316924,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,4,4495040,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,26,4588936,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Female,0,778890,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Male,0,819262,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,32,4438064,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,42,4406504,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,52,4312068,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,80,4252336,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Female,0,798192,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Male,0,838806,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,46,4091470,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,154,4027264,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,70,4639724,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,218,4510138,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Female,0,4016316,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Male,0,4210576,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,78,4739254,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,196,4596978,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,90,4240990,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,174,4127636,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,64,3670414,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,180,3526914,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,64,3582808,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,190,3364388,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,54,3246634,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,130,2975492,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,26,2350458,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,110,2003416,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,16,1848704,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,46,1421538,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,8,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,18,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,12,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,0,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,0,NA,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Female,616,66916856,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Male,1572,65163602,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Female,0,0,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Male,0,0,United Kingdom
2018,Intentional self-harm,0,GBR,Female,0,713860,United Kingdom
2018,Intentional self-harm,0,GBR,Male,0,752302,United Kingdom
2018,Intentional self-harm,1,GBR,Female,0,738512,United Kingdom
2018,Intentional self-harm,1,GBR,Male,0,777620,United Kingdom
2018,Intentional self-harm,14-Oct,GBR,Female,12,3708194,United Kingdom
2018,Intentional self-harm,14-Oct,GBR,Male,20,3895967,United Kingdom
2018,Intentional self-harm,15-19,GBR,Female,114,3513690,United Kingdom
2018,Intentional self-harm,15-19,GBR,Male,280,3708896,United Kingdom
2018,Intentional self-harm,2,GBR,Female,0,762773,United Kingdom
2018,Intentional self-harm,2,GBR,Male,0,803544,United Kingdom
2018,Intentional self-harm,20-24,GBR,Female,164,4009070,United Kingdom
2018,Intentional self-harm,20-24,GBR,Male,582,4240422,United Kingdom
2018,Intentional self-harm,25-29,GBR,Female,200,4405780,United Kingdom
2018,Intentional self-harm,25-29,GBR,Male,622,4523263,United Kingdom
2018,Intentional self-harm,3,GBR,Female,0,764252,United Kingdom
2018,Intentional self-harm,3,GBR,Male,0,804842,United Kingdom
2018,Intentional self-harm,30-34,GBR,Female,186,4414651,United Kingdom
2018,Intentional self-harm,30-34,GBR,Male,734,4386507,United Kingdom
2018,Intentional self-harm,35-39,GBR,Female,212,4346424,United Kingdom
2018,Intentional self-harm,35-39,GBR,Male,684,4275724,United Kingdom
2018,Intentional self-harm,4,GBR,Female,0,772042,United Kingdom
2018,Intentional self-harm,4,GBR,Male,0,812573,United Kingdom
2018,Intentional self-harm,40-44,GBR,Female,196,3965299,United Kingdom
2018,Intentional self-harm,40-44,GBR,Male,738,3907599,United Kingdom
2018,Intentional self-harm,45-49,GBR,Female,328,4500979,United Kingdom
2018,Intentional self-harm,45-49,GBR,Male,976,4381328,United Kingdom
2018,Intentional self-harm,9-May,GBR,Female,0,3976713,United Kingdom
2018,Intentional self-harm,9-May,GBR,Male,0,4169979,United Kingdom
2018,Intentional self-harm,50-54,GBR,Female,266,4679949,United Kingdom
2018,Intentional self-harm,50-54,GBR,Male,910,4534270,United Kingdom
2018,Intentional self-harm,55-59,GBR,Female,194,4299458,United Kingdom
2018,Intentional self-harm,55-59,GBR,Male,644,4172493,United Kingdom
2018,Intentional self-harm,60-64,GBR,Female,174,3698617,United Kingdom
2018,Intentional self-harm,60-64,GBR,Male,480,3551067,United Kingdom
2018,Intentional self-harm,65-69,GBR,Female,120,3458215,United Kingdom
2018,Intentional self-harm,65-69,GBR,Male,308,3246856,United Kingdom
2018,Intentional self-harm,70-74,GBR,Female,88,3349736,United Kingdom
2018,Intentional self-harm,70-74,GBR,Male,288,3074560,United Kingdom
2018,Intentional self-harm,75-79,GBR,Female,82,2379402,United Kingdom
2018,Intentional self-harm,75-79,GBR,Male,234,2037586,United Kingdom
2018,Intentional self-harm,80-84,GBR,Female,40,1861015,United Kingdom
2018,Intentional self-harm,80-84,GBR,Male,216,1446267,United Kingdom
2018,Intentional self-harm,85-89,GBR,Female,40,NA,United Kingdom
2018,Intentional self-harm,85-89,GBR,Male,134,NA,United Kingdom
2018,Intentional self-harm,90-94,GBR,Female,24,NA,United Kingdom
2018,Intentional self-harm,90-94,GBR,Male,44,NA,United Kingdom
2018,Intentional self-harm,95+,GBR,Female,0,NA,United Kingdom
2018,Intentional self-harm,95+,GBR,Male,12,NA,United Kingdom
2018,Intentional self-harm,All,GBR,Female,2440,66341169,United Kingdom
2018,Intentional self-harm,All,GBR,Male,7906,64662159,United Kingdom
2018,Intentional self-harm,Unknown,GBR,Female,0,0,United Kingdom
2018,Intentional self-harm,Unknown,GBR,Male,0,0,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Female,0,713860,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Male,0,752302,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Female,0,738512,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Male,0,777620,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Female,0,3708194,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Male,0,3895967,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,0,3513690,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,4,3708896,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Female,0,762773,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Male,0,803544,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,4,4009070,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,20,4240422,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,14,4405780,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,30,4523263,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Female,0,764252,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Male,0,804842,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,32,4414651,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,48,4386507,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,58,4346424,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,114,4275724,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Female,0,772042,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Male,0,812573,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,44,3965299,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,154,3907599,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,92,4500979,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,186,4381328,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Female,0,3976713,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Male,0,4169979,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,110,4679949,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,242,4534270,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,88,4299458,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,242,4172493,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,86,3698617,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,182,3551067,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,82,3458215,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,186,3246856,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,38,3349736,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,152,3074560,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,34,2379402,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,88,2037586,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,16,1861015,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,40,1446267,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,16,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,16,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,6,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,4,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,2,NA,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Female,720,66341169,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Male,1710,64662159,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Female,0,0,United Kingdom
2018,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Male,0,0,United Kingdom
2019,Intentional self-harm,0,GBR,Female,0,702610,United Kingdom
2019,Intentional self-harm,0,GBR,Male,0,743152,United Kingdom
2019,Intentional self-harm,1,GBR,Female,0,732964,United Kingdom
2019,Intentional self-harm,1,GBR,Male,0,772144,United Kingdom
2019,Intentional self-harm,14-Oct,GBR,Female,14,3854868,United Kingdom
2019,Intentional self-harm,14-Oct,GBR,Male,18,4052864,United Kingdom
2019,Intentional self-harm,15-19,GBR,Female,128,3555510,United Kingdom
2019,Intentional self-harm,15-19,GBR,Male,264,3758426,United Kingdom
2019,Intentional self-harm,2,GBR,Female,0,757232,United Kingdom
2019,Intentional self-harm,2,GBR,Male,0,797386,United Kingdom
2019,Intentional self-harm,20-24,GBR,Female,190,4036018,United Kingdom
2019,Intentional self-harm,20-24,GBR,Male,664,4270142,United Kingdom
2019,Intentional self-harm,25-29,GBR,Female,240,4444298,United Kingdom
2019,Intentional self-harm,25-29,GBR,Male,770,4584200,United Kingdom
2019,Intentional self-harm,3,GBR,Female,0,780902,United Kingdom
2019,Intentional self-harm,3,GBR,Male,0,823766,United Kingdom
2019,Intentional self-harm,30-34,GBR,Female,210,4509580,United Kingdom
2019,Intentional self-harm,30-34,GBR,Male,840,4484684,United Kingdom
2019,Intentional self-harm,35-39,GBR,Female,250,4443566,United Kingdom
2019,Intentional self-harm,35-39,GBR,Male,800,4347768,United Kingdom
2019,Intentional self-harm,4,GBR,Female,0,781218,United Kingdom
2019,Intentional self-harm,4,GBR,Male,0,823152,United Kingdom
2019,Intentional self-harm,40-44,GBR,Female,212,4045346,United Kingdom
2019,Intentional self-harm,40-44,GBR,Male,804,3993732,United Kingdom
2019,Intentional self-harm,45-49,GBR,Female,282,4459532,United Kingdom
2019,Intentional self-harm,45-49,GBR,Male,980,4344712,United Kingdom
2019,Intentional self-harm,9-May,GBR,Female,0,4048560,United Kingdom
2019,Intentional self-harm,9-May,GBR,Male,0,4251144,United Kingdom
2019,Intentional self-harm,50-54,GBR,Female,298,4736600,United Kingdom
2019,Intentional self-harm,50-54,GBR,Male,976,4585430,United Kingdom
2019,Intentional self-harm,55-59,GBR,Female,250,4476804,United Kingdom
2019,Intentional self-harm,55-59,GBR,Male,778,4335012,United Kingdom
2019,Intentional self-harm,60-64,GBR,Female,158,3830094,United Kingdom
2019,Intentional self-harm,60-64,GBR,Male,574,3680276,United Kingdom
2019,Intentional self-harm,65-69,GBR,Female,122,3476194,United Kingdom
2019,Intentional self-harm,65-69,GBR,Male,336,3260204,United Kingdom
2019,Intentional self-harm,70-74,GBR,Female,118,3462254,United Kingdom
2019,Intentional self-harm,70-74,GBR,Male,350,3175480,United Kingdom
2019,Intentional self-harm,75-79,GBR,Female,68,2497622,United Kingdom
2019,Intentional self-harm,75-79,GBR,Male,230,2152970,United Kingdom
2019,Intentional self-harm,80-84,GBR,Female,46,1923972,United Kingdom
2019,Intentional self-harm,80-84,GBR,Male,174,1506684,United Kingdom
2019,Intentional self-harm,85-89,GBR,Female,40,NA,United Kingdom
2019,Intentional self-harm,85-89,GBR,Male,114,NA,United Kingdom
2019,Intentional self-harm,90-94,GBR,Female,16,NA,United Kingdom
2019,Intentional self-harm,90-94,GBR,Male,44,NA,United Kingdom
2019,Intentional self-harm,95+,GBR,Female,2,NA,United Kingdom
2019,Intentional self-harm,95+,GBR,Male,10,NA,United Kingdom
2019,Intentional self-harm,All,GBR,Female,2644,67637156,United Kingdom
2019,Intentional self-harm,All,GBR,Male,8726,65956458,United Kingdom
2019,Intentional self-harm,Unknown,GBR,Female,0,0,United Kingdom
2019,Intentional self-harm,Unknown,GBR,Male,0,0,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Female,0,702610,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Male,0,743152,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Female,0,732964,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Male,0,772144,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Female,0,3854868,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Male,0,4052864,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,2,3555510,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,0,3758426,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Female,0,757232,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,2,GBR,Male,0,797386,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,6,4036018,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,12,4270142,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,26,4444298,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,26,4584200,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Female,0,780902,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,3,GBR,Male,0,823766,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,18,4509580,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,60,4484684,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,56,4443566,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,116,4347768,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Female,0,781218,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,4,GBR,Male,0,823152,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,54,4045346,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,144,3993732,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,84,4459532,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,190,4344712,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Female,0,4048560,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,9-May,GBR,Male,0,4251144,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,72,4736600,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,218,4585430,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,98,4476804,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,208,4335012,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,42,3830094,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,216,3680276,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,44,3476194,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,154,3260204,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,50,3462254,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,132,3175480,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,38,2497622,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,94,2152970,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,20,1923972,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,64,1506684,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,18,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,22,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,4,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,4,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,2,NA,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Female,632,67637156,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,All,GBR,Male,1662,65956458,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Female,0,0,United Kingdom
2019,Mental and behavioural disorders due to psychoactive substance use,Unknown,GBR,Male,0,0,United Kingdom
2020,Intentional self-harm,0,GBR,Female,0,685484,United Kingdom
2020,Intentional self-harm,0,GBR,Male,0,722584,United Kingdom
2020,Intentional self-harm,1,GBR,Female,0,711618,United Kingdom
2020,Intentional self-harm,1,GBR,Male,0,752164,United Kingdom
2020,Intentional self-harm,14-Oct,GBR,Female,16,3939160,United Kingdom
2020,Intentional self-harm,14-Oct,GBR,Male,20,4144254,United Kingdom
2020,Intentional self-harm,15-19,GBR,Female,104,3580570,United Kingdom
2020,Intentional self-harm,15-19,GBR,Male,256,3786466,United Kingdom
2020,Intentional self-harm,2,GBR,Female,0,740722,United Kingdom
2020,Intentional self-harm,2,GBR,Male,0,780628,United Kingdom
2020,Intentional self-harm,20-24,GBR,Female,174,4008126,United Kingdom
2020,Intentional self-harm,20-24,GBR,Male,554,4269592,United Kingdom
2020,Intentional self-harm,25-29,GBR,Female,244,4397732,United Kingdom
2020,Intentional self-harm,25-29,GBR,Male,700,4565630,United Kingdom
2020,Intentional self-harm,3,GBR,Female,0,764860,United Kingdom
2020,Intentional self-harm,3,GBR,Male,0,805962,United Kingdom
2020,Intentional self-harm,30-34,GBR,Female,210,4513720,United Kingdom
2020,Intentional self-harm,30-34,GBR,Male,818,4521018,United Kingdom
2020,Intentional self-harm,35-39,GBR,Female,260,4445752,United Kingdom
2020,Intentional self-harm,35-39,GBR,Male,886,4356160,United Kingdom
2020,Intentional self-harm,4,GBR,Female,0,786968,United Kingdom
2020,Intentional self-harm,4,GBR,Male,0,829488,United Kingdom
2020,Intentional self-harm,40-44,GBR,Female,218,4114668,United Kingdom
2020,Intentional self-harm,40-44,GBR,Male,722,4058550,United Kingdom
2020,Intentional self-harm,45-49,GBR,Female,284,4367336,United Kingdom
